,STATION_CODE,PARKING_CAPACITY
0,ACF,201
1,ALB,673
2,ALP,119
3,ASH,252
4,ASP,78
5,BAY,393
6,BBH,170
7,BBN,107
8,BEG,170
9,BEL,75
10,BEN,205
11,BEW,937
12,BFD,341
13,BIT,50
14,BLY,4
15,BMS,210
16,BON,35
17,BOR,394
18,BOX,507
19,BWD,184
20,BWK,7
21,BXR,15
22,CAM,75
23,CAR,220
24,CBE,683
25,CBY,125
26,CDA,328
27,CDN,290
28,CFD,147
29,CGB,529
30,CHL,90
31,CHM,8
32,CLA,298
33,CLO,486
34,COB,350
35,CPT,20
36,CPV,29
37,CSA,198
38,CTM,356
39,DBN,26
40,DCK,30
41,DEN,36
42,DIT,548
43,DLG,309
44,DNG,448
45,EAG,42
46,ECM,60
47,EDI,34
48,ELS,156
49,ELT,397
50,EMV,676
51,EPP,263
52,ESD,499
53,FAK,76
54,FFD,106
55,FKN,413
56,FSY,161
57,FTG,401
58,GAR,229
59,GBV,63
60,GHY,175
61,GIN,340
62,GIR,70
63,GOW,118
64,GRN,212
65,GRY,618
66,GWY,332
67,HAM,167
68,HAW,11
69,HBE,75
70,HCG,566
71,HDB,300
72,HIG,116
73,HLM,590
74,HMT,112
75,HOL,195
76,HST,20
77,HTD,518
78,HUN,657
79,IVA,297
80,JOR,155
81,KAN,136
82,KPK,154
83,KPL,636
84,KYG,70
85,LAB,40
86,LAL,417
87,LAV,947
88,LBK,229
89,LIL,531
90,MAB,26
91,MBN,120
92,MCD,102
93,MCH,801
94,MCK,51
95,MEN,272
96,MER,6
97,MLD,196
98,MLK,475
99,MMY,93
100,MOR,220
101,MPD,107
102,MPK,204
103,MRN,30
104,MRO,10
105,MWY,214
106,MYN,218
107,NBN,105
108,NCE,5
109,NMS,74
110,NPK,331
111,NPS,88
112,NPT,310
113,NWA,717
114,NWG,204
115,NWN,39
116,OAK,339
117,OFC,162
118,OKP,36
119,OMD,117
120,PAT,48
121,PKM,364
122,PRE,261
123,PVL,122
124,REG,215
125,RES,495
126,RIV,139
127,RUS,5
128,RUT,125
129,RWD,303
130,RWE,460
131,RXP,347
132,SAB,235
133,SEA,477
134,SHE,7
135,SHL,357
136,SHM,122
137,SKN,6
138,SME,99
139,SMG,909
140,SNP,560
141,SPG,217
142,SPT,25
143,STY,8
144,SUN,494
145,SUY,565
146,SVE,70
147,SYN,585
148,TAB,20
149,TGA,189
150,TOT,237
151,TSN,310
152,UFD,211
153,UFG,308
154,WAT,534
155,WBH,74
156,WER,582
157,WFY,410
158,WIL,13
159,WLD,666
160,WRG,712
161,WTL,274
162,WTO,78
163,WTT,53
164,YMN,255
